Border,Date,Measure,Value,Average
US-Mexico Border,09/01/2019 00:00:00,Pedestrians,81806259,88669131
US-Mexico Border,09/01/2019 00:00:00,Trucks,9406506,9737040
US-Mexico Border,09/01/2019 00:00:00,Rail Containers Empty,760031,756726
US-Mexico Border,09/01/2019 00:00:00,Personal Vehicles,151286569,156676171
US-Mexico Border,09/01/2019 00:00:00,Bus Passengers,4933859,5994562
US-Canada Border,09/01/2019 00:00:00,Pedestrians,1406173,1194921
US-Canada Border,09/01/2019 00:00:00,Rail Containers Full,2652001,2619863
US-Mexico Border,09/01/2019 00:00:00,Rail Containers Full,704310,679784
US-Mexico Border,09/01/2019 00:00:00,Train Passengers,23213,24727
US-Canada Border,08/01/2019 00:00:00,Truck Containers Empty,2252402,2152054
US-Canada Border,08/01/2019 00:00:00,Truck Containers Full,9417408,9127728
US-Canada Border,08/01/2019 00:00:00,Personal Vehicles,84905249,61753239
US-Canada Border,08/01/2019 00:00:00,Bus Passengers,8906764,6178355
US-Canada Border,08/01/2019 00:00:00,Personal Vehicle Passengers,190839964,128551052
US-Mexico Border,08/01/2019 00:00:00,Rail Containers Empty,760957,756122
US-Mexico Border,08/01/2019 00:00:00,Rail Containers Full,718522,674250
US-Canada Border,08/01/2019 00:00:00,Train Passengers,951995,507339
US-Canada Border,08/01/2019 00:00:00,Rail Containers Empty,1113796,1067937
US-Canada Border,08/01/2019 00:00:00,Trucks,12629612,12236927
US-Mexico Border,08/01/2019 00:00:00,Personal Vehicles,159843949,156223632
US-Canada Border,08/01/2019 00:00:00,Trains,61007,59890
US-Mexico Border,08/01/2019 00:00:00,Bus Passengers,6553841,5914666
US-Mexico Border,08/01/2019 00:00:00,Buses,482700,459567
US-Mexico Border,08/01/2019 00:00:00,Truck Containers Full,6184060,6292339
US-Canada Border,08/01/2019 00:00:00,Buses,361461,261944
US-Mexico Border,08/01/2019 00:00:00,Personal Vehicle Passengers,345164833,334912241
US-Canada Border,08/01/2019 00:00:00,Rail Containers Full,2674067,2612120
US-Mexico Border,08/01/2019 00:00:00,Pedestrians,87902867,88778597
US-Mexico Border,08/01/2019 00:00:00,Truck Containers Empty,3548269,3380772
US-Mexico Border,08/01/2019 00:00:00,Trucks,9853200,9720446
US-Mexico Border,08/01/2019 00:00:00,Train Passengers,25175,24663
US-Canada Border,08/01/2019 00:00:00,Pedestrians,2332197,1032453
US-Mexico Border,08/01/2019 00:00:00,Trains,18298,17499
US-Canada Border,07/01/2019 00:00:00,Pedestrians,2221556,834269
US-Canada Border,07/01/2019 00:00:00,Personal Vehicles,82970629,58217007
US-Canada Border,07/01/2019 00:00:00,Truck Containers Full,8640924,9208862
US-Mexico Border,07/01/2019 00:00:00,Truck Containers Full,6022106,6337378
US-Canada Border,07/01/2019 00:00:00,Train Passengers,937968,435568
US-Mexico Border,07/01/2019 00:00:00,Bus Passengers,7352485,5675029
US-Mexico Border,07/01/2019 00:00:00,Personal Vehicle Passengers,348875572,332585019
US-Canada Border,07/01/2019 00:00:00,Trains,59222,60002
US-Canada Border,07/01/2019 00:00:00,Bus Passengers,8719043,5754907
US-Canada Border,07/01/2019 00:00:00,Buses,363591,245003
US-Mexico Border,07/01/2019 00:00:00,Trucks,9507747,9755896
US-Canada Border,07/01/2019 00:00:00,Personal Vehicle Passengers,184387933,119244906
US-Mexico Border,07/01/2019 00:00:00,Truck Containers Empty,3487828,3362929
US-Canada Border,07/01/2019 00:00:00,Trucks,11639856,12336438
US-Canada Border,07/01/2019 00:00:00,Truck Containers Empty,2099696,2160781
US-Mexico Border,07/01/2019 00:00:00,Personal Vehicles,158259990,155884238
US-Mexico Border,07/01/2019 00:00:00,Pedestrians,88095805,88892396
US-Mexico Border,07/01/2019 00:00:00,Rail Containers Empty,732385,760078
US-Canada Border,07/01/2019 00:00:00,Rail Containers Full,2519478,2627560
US-Canada Border,07/01/2019 00:00:00,Rail Containers Empty,1106021,1061590
US-Mexico Border,07/01/2019 00:00:00,Buses,493606,453894
US-Mexico Border,07/01/2019 00:00:00,Trains,17612,17481
US-Mexico Border,07/01/2019 00:00:00,Train Passengers,23417,24870
US-Mexico Border,07/01/2019 00:00:00,Rail Containers Full,668699,675175
